entry,at,order
"The player ""Gob @ -HnKEXRxVA"" passed the room ownership to ""edwin2 @ 9M0NBGM9an"".",2025-01-31T09:51:57.247Z,173831711724700
"The player ""joshy @ fmjgGR4d_8"" quits the game with a stack of 93.81.",2025-01-31T09:44:42.314Z,173831668231402
"The player ""glenny2 @ Fp4ysonQPU"" quits the game with a stack of 42.40.",2025-01-31T09:44:42.314Z,173831668231401
"The player ""Gob @ -HnKEXRxVA"" quits the game with a stack of 74.20.",2025-01-31T09:44:42.314Z,173831668231400
"""joshy @ fmjgGR4d_8"" shows a 3♣, 6♠, 4♥, A♦.",2025-01-31T09:44:39.985Z,173831667998500
"""Gob @ -HnKEXRxVA"" shows a Q♥, 6♦, J♣, 7♠.",2025-01-31T09:44:38.319Z,173831667831900
"Undealt cards:  [10♥, 5♥, K♠, 9♣, 7♥]",2025-01-31T09:44:35.864Z,173831667586400
"-- ending hand #320 --",2025-01-31T09:44:34.975Z,173831667497502
"""edwin2 @ 9M0NBGM9an"" collected 0.50 from pot",2025-01-31T09:44:34.975Z,173831667497501
"Uncalled bet of 0.50 returned to ""edwin2 @ 9M0NBGM9an""",2025-01-31T09:44:34.975Z,173831667497500
"""joshy @ fmjgGR4d_8"" folds",2025-01-31T09:44:34.159Z,173831667415900
"""edwin2 @ 9M0NBGM9an"" raises to 0.70",2025-01-31T09:44:33.122Z,173831667312200
"""Gob @ -HnKEXRxVA"" folds",2025-01-31T09:44:30.968Z,173831667096800
"""glenny2 @ Fp4ysonQPU"" folds",2025-01-31T09:44:30.155Z,173831667015500
"""joshy @ fmjgGR4d_8"" calls 0.20",2025-01-31T09:44:29.219Z,173831666921900
"""edwin2 @ 9M0NBGM9an"" posts a big blind of 0.20",2025-01-31T09:44:13.862Z,173831665386207
"""Gob @ -HnKEXRxVA"" posts a small blind of 0.10",2025-01-31T09:44:13.862Z,173831665386206
"Your hand is 5♠, 9♠, 2♠, K♥",2025-01-31T09:44:13.862Z,173831665386203
"Player stacks: #1 ""Gob @ -HnKEXRxVA"" (74.30) | #2 ""edwin2 @ 9M0NBGM9an"" (55.30) | #5 ""joshy @ fmjgGR4d_8"" (94.01) | #8 ""glenny2 @ Fp4ysonQPU"" (42.40)",2025-01-31T09:44:13.862Z,173831665386201
"-- starting hand #320 (id: z7dxfh9ixetp)  (Pot Limit Omaha Hi) (dealer: ""glenny2 @ Fp4ysonQPU"") --",2025-01-31T09:44:13.862Z,173831665386200
"-- ending hand #319 --",2025-01-31T09:44:07.854Z,173831664785404
