player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"edwin2",9M0NBGM9an,2025-01-31T09:25:22.434Z,,7000,,5560,-1440
"edwin2",9M0NBGM9an,2025-01-31T07:25:38.807Z,2025-01-31T09:24:37.444Z,4665,0,0,-4665
"larry",vTnkzfSe3x,2025-01-31T07:20:28.297Z,2025-01-31T07:27:56.156Z,1700,0,0,-1700
"edwin",BBmVmvqhnO,2025-01-31T07:11:35.276Z,2025-01-31T07:24:56.876Z,4000,3803,0,-197
"joshy",fmjgGR4d_8,2025-01-31T06:30:54.613Z,2025-01-31T09:44:42.328Z,3010,9381,0,6371
"glenny2",Fp4ysonQPU,2025-01-31T06:13:45.471Z,2025-01-31T09:44:42.324Z,1990,4240,0,2250
"Glenny",_ID7L-y9Ic,2025-01-31T06:00:17.611Z,2025-01-31T06:12:31.117Z,2000,1890,0,-110
"larry",vTnkzfSe3x,2025-01-31T05:59:27.822Z,2025-01-31T07:18:59.930Z,6000,1610,0,-4390
"larry",vTnkzfSe3x,2025-01-31T05:53:34.300Z,2025-01-31T05:58:58.078Z,3000,2140,0,-860
"joshy",fmjgGR4d_8,2025-01-31T05:53:34.297Z,2025-01-31T06:27:57.571Z,2000,0,0,-2000
"The Senate",ArJnWs8BqK,2025-01-31T05:46:53.582Z,2025-01-31T06:06:15.854Z,4000,6470,0,2470
"ieff",FMYFFNvVDL,2025-01-31T05:31:17.556Z,2025-01-31T08:31:35.356Z,4242,3277,0,-965
"ieff",FMYFFNvVDL,2025-01-31T05:19:05.080Z,2025-01-31T05:28:51.188Z,2000,0,0,-2000
"mond",VnzuRuUJp5,2025-01-31T05:18:01.234Z,2025-01-31T07:53:12.278Z,2000,11389,0,9389
"The Senate",ArJnWs8BqK,2025-01-31T05:13:07.085Z,2025-01-31T05:44:55.135Z,2000,0,0,-2000
"mond",VnzuRuUJp5,2025-01-31T05:13:07.067Z,2025-01-31T05:16:35.529Z,2000,0,0,-2000
"larry",vTnkzfSe3x,2025-01-31T05:13:07.082Z,2025-01-31T05:52:39.307Z,2000,0,0,-2000
"ieff",FMYFFNvVDL,2025-01-31T05:13:07.073Z,2025-01-31T05:18:01.227Z,2000,0,0,-2000
"Gob",-HnKEXRxVA,2025-01-31T05:13:07.060Z,2025-01-31T09:44:42.319Z,8684,14531,0,5847
