entry,at,order
"The player ""ieff @ FMYFFNvVDL"" quits the game with a stack of 40.50.",2025-02-10T06:06:34.590Z,173916759459001
"The player ""glenny @ O4o2WcWz3Z"" stand up with the stack of 15.65.",2025-02-10T06:06:34.590Z,173916759459000
"""ieff @ FMYFFNvVDL"" shows a J♠, 8♣.",2025-02-10T06:06:30.677Z,173916759067700
"-- ending hand #140 --",2025-02-10T06:06:28.048Z,173916758804802
"""Gob @ bMuZUaFSt2"" collected 0.40 from pot with A High (combination: A♥, K♦, Q♠, 10♥, 9♦)",2025-02-10T06:06:28.048Z,173916758804801
"""Gob @ bMuZUaFSt2"" shows a Q♠, 6♦.",2025-02-10T06:06:28.048Z,173916758804800
"""ieff @ FMYFFNvVDL"" checks",2025-02-10T06:06:27.240Z,173916758724000
"""Gob @ bMuZUaFSt2"" checks",2025-02-10T06:06:26.350Z,173916758635000
"River: 10♥, 5♥, A♥, K♦ [9♦]",2025-02-10T06:06:24.709Z,173916758470900
"""ieff @ FMYFFNvVDL"" checks",2025-02-10T06:06:23.835Z,173916758383500
"""Gob @ bMuZUaFSt2"" checks",2025-02-10T06:06:22.316Z,173916758231600
"Turn: 10♥, 5♥, A♥ [K♦]",2025-02-10T06:06:20.632Z,173916758063200
"""ieff @ FMYFFNvVDL"" checks",2025-02-10T06:06:19.807Z,173916757980700
"""Gob @ bMuZUaFSt2"" checks",2025-02-10T06:06:18.967Z,173916757896700
"Flop:  [10♥, 5♥, A♥]",2025-02-10T06:06:17.029Z,173916757702900
"""ieff @ FMYFFNvVDL"" checks",2025-02-10T06:06:16.205Z,173916757620500
"""Gob @ bMuZUaFSt2"" calls 0.20",2025-02-10T06:06:15.367Z,173916757536700
"""glenny @ O4o2WcWz3Z"" folds",2025-02-10T06:06:05.544Z,173916756554400
"""ieff @ FMYFFNvVDL"" posts a big blind of 0.20",2025-02-10T06:06:03.395Z,173916756339508
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-10T06:06:03.395Z,173916756339507
"Your hand is Q♠, 6♦",2025-02-10T06:06:03.395Z,173916756339504
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (80.00) | #6 ""ieff @ FMYFFNvVDL"" (40.70) | #9 ""glenny @ O4o2WcWz3Z"" (15.65)",2025-02-10T06:06:03.395Z,173916756339503
"-- starting hand #140 (id: oihgt9zu8otz)  (No Limit Texas Hold'em) (dealer: ""glenny @ O4o2WcWz3Z"") --",2025-02-10T06:06:03.395Z,173916756339502
"The player ""edwin @ M8D9HPGuve"" quits the game with a stack of 53.15.",2025-02-10T06:06:03.395Z,173916756339501
"The player ""Mond @ VnzuRuUJp5"" quits the game with a stack of 188.30.",2025-02-10T06:06:03.395Z,173916756339500
"Undealt cards:  [4♥, Q♣, 4♠, 6♦, K♣]",2025-02-10T06:06:01.530Z,173916756153000
"""ieff @ FMYFFNvVDL"" shows a J♠, J♦.",2025-02-10T06:05:58.478Z,173916755847800
"""glenny @ O4o2WcWz3Z"" shows a A♥, Q♠.",2025-02-10T06:05:56.417Z,173916755641700
"-- ending hand #139 --",2025-02-10T06:05:56.057Z,173916755605702
"""ieff @ FMYFFNvVDL"" collected 4.60 from pot",2025-02-10T06:05:56.057Z,173916755605701
"Uncalled bet of 4.40 returned to ""ieff @ FMYFFNvVDL""",2025-02-10T06:05:56.057Z,173916755605700
"""glenny @ O4o2WcWz3Z"" folds",2025-02-10T06:05:55.223Z,173916755522300
"""ieff @ FMYFFNvVDL"" raises to 6.60",2025-02-10T06:05:29.617Z,173916752961700
"""Gob @ bMuZUaFSt2"" folds",2025-02-10T06:05:21.674Z,173916752167400
"""glenny @ O4o2WcWz3Z"" raises to 2.20",2025-02-10T06:05:08.863Z,173916750886300
"""ieff @ FMYFFNvVDL"" raises to 0.80",2025-02-10T06:05:06.479Z,173916750647900
"""Mond @ VnzuRuUJp5"" folds",2025-02-10T06:05:03.417Z,173916750341700
"""edwin @ M8D9HPGuve"" folds",2025-02-10T06:05:02.543Z,173916750254300
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-10T06:05:00.447Z,173916750044708
"""glenny @ O4o2WcWz3Z"" posts a small blind of 0.10",2025-02-10T06:05:00.447Z,173916750044707
"Your hand is 10♦, 6♠",2025-02-10T06:05:00.447Z,173916750044702
"Player stacks: #1 ""Gob @ bMuZUaFSt2"" (80.20) | #2 ""edwin @ M8D9HPGuve"" (53.15) | #4 ""Mond @ VnzuRuUJp5"" (188.30) | #6 ""ieff @ FMYFFNvVDL"" (38.30) | #9 ""glenny @ O4o2WcWz3Z"" (17.85)",2025-02-10T06:05:00.447Z,173916750044701
"-- starting hand #139 (id: 4xi8hbq76a8e)  (No Limit Texas Hold'em) (dead button) --",2025-02-10T06:05:00.447Z,173916750044700
"""Gob @ bMuZUaFSt2"" shows a K♦, 3♥.",2025-02-10T06:04:56.604Z,173916749660400
"""Mond @ VnzuRuUJp5"" shows a A♣, Q♦.",2025-02-10T06:04:56.358Z,173916749635800
"-- ending hand #138 --",2025-02-10T06:04:53.438Z,173916749343802
"""edwin @ M8D9HPGuve"" collected 11.24 from pot with Two Pair, 8's & 3's (combination: 8♦, 8♥, 3♦, 3♠, K♥)",2025-02-10T06:04:53.438Z,173916749343801
"""edwin @ M8D9HPGuve"" shows a 3♦, 8♦.",2025-02-10T06:04:53.438Z,173916749343800
"""Mond @ VnzuRuUJp5"" calls 3.37",2025-02-10T06:04:52.628Z,173916749262800
"""edwin @ M8D9HPGuve"" bets 3.37",2025-02-10T06:04:51.030Z,173916749103000
"River: 5♠, 3♠, 4♣, 8♥ [K♥]",2025-02-10T06:04:47.681Z,173916748768100
"""Mond @ VnzuRuUJp5"" calls 1.35",2025-02-10T06:04:46.853Z,173916748685300
"""edwin @ M8D9HPGuve"" bets 1.35",2025-02-10T06:04:45.661Z,173916748566100
"Turn: 5♠, 3♠, 4♣ [8♥]",2025-02-10T06:04:35.023Z,173916747502300
"""Mond @ VnzuRuUJp5"" checks",2025-02-10T06:04:34.176Z,173916747417600
"""edwin @ M8D9HPGuve"" checks",2025-02-10T06:04:33.206Z,173916747320600
"Flop:  [5♠, 3♠, 4♣]",2025-02-10T06:04:30.619Z,173916747061900
"""edwin @ M8D9HPGuve"" calls 0.80",2025-02-10T06:04:29.717Z,173916746971700
"""glenny @ O4o2WcWz3Z"" folds",2025-02-10T06:04:25.122Z,173916746512200
"""ieff @ FMYFFNvVDL"" folds",2025-02-10T06:04:23.077Z,173916746307700
"""Mond @ VnzuRuUJp5"" raises to 0.80",2025-02-10T06:04:22.194Z,173916746219400
"""edwin @ M8D9HPGuve"" calls 0.20",2025-02-10T06:04:18.979Z,173916745897900
"""Gob @ bMuZUaFSt2"" folds",2025-02-10T06:04:16.912Z,173916745691200
"""glenny @ O4o2WcWz3Z"" posts a big blind of 0.20",2025-02-10T06:04:12.358Z,173916745235809
"Dead Small Blind",2025-02-10T06:04:12.358Z,173916745235808
"Your hand is K♦, 3♥",2025-02-10T06:04:12.358Z,173916745235803
