player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"joshy",Z_WOxDxS2G,2025-02-03T07:05:22.546Z,,2000,,3557,1557
"Winner (Nick)",23ejw2m6D-,2025-02-03T05:50:54.356Z,,2000,,1157,-843
"ieff",FMYFFNvVDL,2025-02-03T05:20:46.907Z,2025-02-03T07:54:20.523Z,2920,3671,0,751
"Jar Jar Binks",ArJnWs8BqK,2025-02-03T05:16:40.918Z,2025-02-03T06:41:56.019Z,4000,0,0,-4000
"Winner (Nick)",23ejw2m6D-,2025-02-03T05:12:08.471Z,2025-02-03T05:49:37.139Z,2000,0,0,-2000
"Eli",rfMu1iwm1_,2025-02-03T05:12:08.480Z,2025-02-03T06:05:35.525Z,2000,4220,0,2220
"edwin",9M0NBGM9an,2025-02-03T05:07:56.699Z,2025-02-03T06:39:05.521Z,2000,7704,0,5704
"glenny",O4o2WcWz3Z,2025-02-03T05:07:56.701Z,,4615,,4190,-425
"Jar Jar Binks",ArJnWs8BqK,2025-02-03T05:07:56.703Z,2025-02-03T05:15:49.026Z,2000,0,0,-2000
"Gob",bMuZUaFSt2,2025-02-03T05:07:56.697Z,,6669,,5705,-964
