player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"glenny",O4o2WcWz3Z,2025-02-28T06:28:43.918Z,,3000,,1740,-1260
"glenny",O4o2WcWz3Z,2025-02-28T06:21:35.932Z,2025-02-28T06:27:32.892Z,3000,0,0,-3000
"joshy",sWbFzgCRRa,2025-02-28T06:15:24.167Z,,3000,,4875,1875
"Mond",VnzuRuUJp5,2025-02-28T06:11:02.050Z,2025-02-28T06:55:34.661Z,4060,8170,0,4110
"Gob",bMuZUaFSt2,2025-02-28T06:05:09.697Z,,2000,,6470,4470
"The Senate",ArJnWs8BqK,2025-02-28T05:59:40.608Z,,2000,,3880,1880
"glenny",O4o2WcWz3Z,2025-02-28T05:56:55.829Z,2025-02-28T06:20:41.196Z,3000,0,0,-3000
"Kyle2",jclMM_b-US,2025-02-28T05:55:29.907Z,2025-02-28T06:48:55.950Z,2000,0,0,-2000
"glenny",O4o2WcWz3Z,2025-02-28T05:51:39.054Z,2025-02-28T05:55:29.904Z,15000,12930,0,-2070
"joshy",sWbFzgCRRa,2025-02-28T05:45:35.951Z,2025-02-28T06:14:42.583Z,2000,0,0,-2000
"Mond",VnzuRuUJp5,2025-02-28T05:29:44.087Z,2025-02-28T06:09:19.314Z,2000,0,0,-2000
"Kyle2",jclMM_b-US,2025-02-28T05:08:39.054Z,2025-02-28T05:41:04.313Z,2000,6110,0,4110
"Mond",VnzuRuUJp5,2025-02-28T04:53:37.407Z,2025-02-28T05:28:11.539Z,2000,0,0,-2000
"Mond",VnzuRuUJp5,2025-02-28T04:24:15.673Z,2025-02-28T04:33:54.723Z,2000,0,0,-2000
"edwin",9M0NBGM9an,2025-02-28T04:09:58.157Z,2025-02-28T06:54:20.442Z,3000,6735,0,3735
"edwin",9M0NBGM9an,2025-02-28T04:06:28.494Z,2025-02-28T04:09:12.855Z,2000,0,0,-2000
"ieff",FMYFFNvVDL,2025-02-28T04:06:28.497Z,2025-02-28T06:13:19.419Z,2000,5462,0,3462
"Kyle",GnKjEIhrHH,2025-02-28T04:06:28.503Z,2025-02-28T05:06:40.013Z,2000,3667,0,1667
"Gob",bMuZUaFSt2,2025-02-28T04:06:28.500Z,2025-02-28T06:04:02.162Z,5514,0,0,-5514
"Nicky",23ejw2m6D-,2025-02-28T04:06:28.487Z,,2000,,2725,725
"The Senate",ArJnWs8BqK,2025-02-28T04:06:28.506Z,2025-02-28T04:32:40.562Z,2000,2810,0,810
