player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ieff",FMYFFNvVDL,2025-03-10T06:16:10.796Z,2025-03-10T06:20:40.544Z,2000,1970,0,-30
"Kyle2",jclMM_b-US,2025-03-10T05:28:49.428Z,2025-03-10T06:19:13.531Z,2000,0,0,-2000
"Kyle",GnKjEIhrHH,2025-03-10T05:14:29.299Z,2025-03-10T05:25:55.627Z,2000,0,0,-2000
"Kyle",GnKjEIhrHH,2025-03-10T05:12:28.911Z,2025-03-10T05:13:37.827Z,2000,0,0,-2000
"edwin",9M0NBGM9an,2025-03-10T04:43:00.766Z,2025-03-10T06:20:17.088Z,7000,11405,0,4405
"larry",0D790GTBvz,2025-03-10T04:21:58.228Z,2025-03-10T05:57:24.870Z,5000,8470,0,3470
"Kyle",GnKjEIhrHH,2025-03-10T04:18:14.033Z,2025-03-10T05:11:34.077Z,3090,0,0,-3090
"Kyle",GnKjEIhrHH,2025-03-10T04:09:59.535Z,2025-03-10T04:17:23.678Z,2000,0,0,-2000
"Kyle",GnKjEIhrHH,2025-03-10T04:04:02.414Z,2025-03-10T04:08:57.215Z,2000,0,0,-2000
"larry",0D790GTBvz,2025-03-10T03:36:55.407Z,2025-03-10T04:21:08.334Z,4510,0,0,-4510
"Tyler",Gx5KZdldWM,2025-03-10T02:55:26.749Z,2025-03-10T06:20:40.539Z,2000,5289,0,3289
"Nick",23ejw2m6D-,2025-03-10T02:40:50.704Z,2025-03-10T06:20:40.535Z,2000,2120,0,120
"Eli",hSyvY7wv9b,2025-03-10T02:40:50.715Z,2025-03-10T05:38:52.162Z,3560,3104,0,-456
"Gob",bMuZUaFSt2,2025-03-10T02:40:50.712Z,,2000,,7514,5514
"The Senate",ArJnWs8BqK,2025-03-10T02:40:50.717Z,2025-03-10T04:53:15.728Z,3892,8015,0,4123
"ieff",FMYFFNvVDL,2025-03-10T02:40:50.697Z,2025-03-10T06:14:19.601Z,2835,0,0,-2835
