entry,at,order
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-28T07:01:19.306Z,174072607930608
"""glenny @ O4o2WcWz3Z"" posts a small blind of 0.10",2025-02-28T07:01:19.306Z,174072607930607
"Your hand is Q♦, 8♥",2025-02-28T07:01:19.306Z,174072607930604
"Player stacks: #1 ""Nicky @ 23ejw2m6D-"" (27.25) | #3 ""glenny @ O4o2WcWz3Z"" (17.40) | #6 ""Gob @ bMuZUaFSt2"" (64.70) | #7 ""joshy @ sWbFzgCRRa"" (48.75) | #9 ""The Senate @ ArJnWs8BqK"" (38.80)",2025-02-28T07:01:19.306Z,174072607930601
"-- starting hand #179 (id: bzhgiiupyhku)  (No Limit Texas Hold'em) (dealer: ""Nicky @ 23ejw2m6D-"") --",2025-02-28T07:01:19.306Z,174072607930600
"""Nicky @ 23ejw2m6D-"" shows a 4♣, 9♠.",2025-02-28T07:01:17.042Z,174072607704200
"""Gob @ bMuZUaFSt2"" shows a A♥, A♠.",2025-02-28T07:01:16.685Z,174072607668500
"""joshy @ sWbFzgCRRa"" shows a 2♦, 9♣.",2025-02-28T07:01:14.675Z,174072607467500
"-- ending hand #178 --",2025-02-28T07:01:14.297Z,174072607429702
"""joshy @ sWbFzgCRRa"" collected 5.00 from pot",2025-02-28T07:01:14.297Z,174072607429701
"Uncalled bet of 2.00 returned to ""joshy @ sWbFzgCRRa""",2025-02-28T07:01:14.297Z,174072607429700
"""Gob @ bMuZUaFSt2"" folds",2025-02-28T07:01:13.478Z,174072607347800
"""joshy @ sWbFzgCRRa"" bets 2.00",2025-02-28T07:01:06.405Z,174072606640500
"""Gob @ bMuZUaFSt2"" checks",2025-02-28T07:01:00.655Z,174072606065500
"River: 3♠, J♥, 3♦, 10♦ [J♠]",2025-02-28T07:00:58.056Z,174072605805600
"""joshy @ sWbFzgCRRa"" checks",2025-02-28T07:00:57.248Z,174072605724800
"""Gob @ bMuZUaFSt2"" checks",2025-02-28T07:00:54.967Z,174072605496700
"Turn: 3♠, J♥, 3♦ [10♦]",2025-02-28T07:00:53.524Z,174072605352400
"""Gob @ bMuZUaFSt2"" calls 1.00",2025-02-28T07:00:52.667Z,174072605266700
"""glenny @ O4o2WcWz3Z"" folds",2025-02-28T07:00:50.248Z,174072605024800
"""The Senate @ ArJnWs8BqK"" folds",2025-02-28T07:00:48.701Z,174072604870100
"""joshy @ sWbFzgCRRa"" bets 1.00",2025-02-28T07:00:47.755Z,174072604775500
"""Gob @ bMuZUaFSt2"" checks",2025-02-28T07:00:37.903Z,174072603790300
"""glenny @ O4o2WcWz3Z"" checks",2025-02-28T07:00:36.231Z,174072603623100
"""Nicky @ 23ejw2m6D-"" folds",2025-02-28T07:00:35.318Z,174072603531800
"Flop:  [3♠, J♥, 3♦]",2025-02-28T07:00:32.081Z,174072603208100
"""glenny @ O4o2WcWz3Z"" calls 0.60",2025-02-28T07:00:31.269Z,174072603126900
