entry,at,order
"The player ""ieff @ FMYFFNvVDL"" quits the game with a stack of 19.70.",2025-03-10T06:20:40.531Z,174158764053102
"The player ""Tyler @ Gx5KZdldWM"" quits the game with a stack of 52.89.",2025-03-10T06:20:40.531Z,174158764053101
"The player ""Nick @ 23ejw2m6D-"" quits the game with a stack of 21.20.",2025-03-10T06:20:40.531Z,174158764053100
"""Nick @ 23ejw2m6D-"" shows a 2♣, 4♦.",2025-03-10T06:20:35.531Z,174158763553100
"Undealt cards: Q♣, Q♠, K♥ [4♥, 7♠]",2025-03-10T06:20:34.515Z,174158763451500
"-- ending hand #226 --",2025-03-10T06:20:33.900Z,174158763390002
"""Gob @ bMuZUaFSt2"" collected 0.40 from pot",2025-03-10T06:20:33.900Z,174158763390001
"Uncalled bet of 0.20 returned to ""Gob @ bMuZUaFSt2""",2025-03-10T06:20:33.900Z,174158763390000
"""Tyler @ Gx5KZdldWM"" folds",2025-03-10T06:20:33.071Z,174158763307100
"""Gob @ bMuZUaFSt2"" bets 0.20",2025-03-10T06:20:32.157Z,174158763215700
"""Tyler @ Gx5KZdldWM"" checks",2025-03-10T06:20:29.252Z,174158762925200
"Flop:  [Q♣, Q♠, K♥]",2025-03-10T06:20:27.396Z,174158762739600
"""Gob @ bMuZUaFSt2"" checks",2025-03-10T06:20:26.526Z,174158762652600
"""Tyler @ Gx5KZdldWM"" calls 0.20",2025-03-10T06:20:24.878Z,174158762487800
"""Nick @ 23ejw2m6D-"" folds",2025-03-10T06:20:21.765Z,174158762176500
"""ieff @ FMYFFNvVDL"" folds",2025-03-10T06:20:18.614Z,174158761861400
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-03-10T06:20:17.079Z,174158761707908
"""Tyler @ Gx5KZdldWM"" posts a small blind of 0.10",2025-03-10T06:20:17.079Z,174158761707907
"Your hand is K♠, 3♦",2025-03-10T06:20:17.079Z,174158761707906
"Player stacks: #1 ""ieff @ FMYFFNvVDL"" (19.70) | #2 ""Nick @ 23ejw2m6D-"" (21.20) | #3 ""Tyler @ Gx5KZdldWM"" (53.09) | #6 ""Gob @ bMuZUaFSt2"" (74.94)",2025-03-10T06:20:17.079Z,174158761707902
"-- starting hand #226 (id: kxjfyyapzxcu)  (No Limit Texas Hold'em) (dealer: ""Nick @ 23ejw2m6D-"") --",2025-03-10T06:20:17.079Z,174158761707901
"The player ""edwin @ 9M0NBGM9an"" quits the game with a stack of 114.05.",2025-03-10T06:20:17.079Z,174158761707900
"Undealt cards: Q♠, 9♣, 6♣ [7♦, 3♦]",2025-03-10T06:20:11.607Z,174158761160700
"""Nick @ 23ejw2m6D-"" shows a 6♠, A♦.",2025-03-10T06:20:11.378Z,174158761137800
"-- ending hand #225 --",2025-03-10T06:20:10.467Z,174158761046702
"""Tyler @ Gx5KZdldWM"" collected 2.00 from pot",2025-03-10T06:20:10.467Z,174158761046701
"Uncalled bet of 1.00 returned to ""Tyler @ Gx5KZdldWM""",2025-03-10T06:20:10.467Z,174158761046700
"""Nick @ 23ejw2m6D-"" folds",2025-03-10T06:20:09.634Z,174158760963400
"""Tyler @ Gx5KZdldWM"" bets 1.00",2025-03-10T06:20:08.078Z,174158760807800
"""Nick @ 23ejw2m6D-"" checks",2025-03-10T06:20:04.164Z,174158760416400
"Flop:  [Q♠, 9♣, 6♣]",2025-03-10T06:20:02.693Z,174158760269300
"""Tyler @ Gx5KZdldWM"" calls 1.00",2025-03-10T06:20:01.884Z,174158760188400
"""Nick @ 23ejw2m6D-"" raises to 1.00",2025-03-10T06:19:59.307Z,174158759930700
"""ieff @ FMYFFNvVDL"" folds",2025-03-10T06:19:56.662Z,174158759666200
"""edwin @ 9M0NBGM9an"" folds",2025-03-10T06:19:53.357Z,174158759335700
"""Gob @ bMuZUaFSt2"" folds",2025-03-10T06:19:52.390Z,174158759239000
"""Tyler @ Gx5KZdldWM"" posts a big blind of 0.20",2025-03-10T06:19:51.108Z,174158759110808
"""Nick @ 23ejw2m6D-"" posts a small blind of 0.10",2025-03-10T06:19:51.108Z,174158759110807
"Your hand is 2♠, J♥",2025-03-10T06:19:51.108Z,174158759110805
"Player stacks: #1 ""ieff @ FMYFFNvVDL"" (19.70) | #2 ""Nick @ 23ejw2m6D-"" (22.20) | #3 ""Tyler @ Gx5KZdldWM"" (52.09) | #6 ""Gob @ bMuZUaFSt2"" (74.94) | #9 ""edwin @ 9M0NBGM9an"" (114.05)",2025-03-10T06:19:51.108Z,174158759110801
"-- starting hand #225 (id: gby87qzioav7)  (No Limit Texas Hold'em) (dealer: ""ieff @ FMYFFNvVDL"") --",2025-03-10T06:19:51.108Z,174158759110800
"""Tyler @ Gx5KZdldWM"" shows a 10♠, J♦.",2025-03-10T06:19:47.148Z,174158758714800
"""Gob @ bMuZUaFSt2"" shows a 9♠, A♥.",2025-03-10T06:19:45.948Z,174158758594800
"-- ending hand #224 --",2025-03-10T06:19:44.098Z,174158758409802
"""Nick @ 23ejw2m6D-"" collected 0.70 from pot with Pair, 2's (combination: 2♣, 2♥, K♥, Q♥, 8♦)",2025-03-10T06:19:44.098Z,174158758409801
"""Nick @ 23ejw2m6D-"" shows a Q♥, 2♣.",2025-03-10T06:19:44.098Z,174158758409800
"""Gob @ bMuZUaFSt2"" checks",2025-03-10T06:19:43.291Z,174158758329100
"""Tyler @ Gx5KZdldWM"" checks",2025-03-10T06:19:41.556Z,174158758155600
"""Nick @ 23ejw2m6D-"" checks",2025-03-10T06:19:40.704Z,174158758070400
"River: 2♥, 8♦, 4♠, 7♠ [K♥]",2025-03-10T06:19:40.218Z,174158758021800
"""Gob @ bMuZUaFSt2"" checks",2025-03-10T06:19:39.406Z,174158757940600
"""Tyler @ Gx5KZdldWM"" checks",2025-03-10T06:19:37.805Z,174158757780500
"""Nick @ 23ejw2m6D-"" checks",2025-03-10T06:19:36.732Z,174158757673200
"Turn: 2♥, 8♦, 4♠ [7♠]",2025-03-10T06:19:36.086Z,174158757608600
"""Gob @ bMuZUaFSt2"" checks",2025-03-10T06:19:35.229Z,174158757522900
"""Tyler @ Gx5KZdldWM"" checks",2025-03-10T06:19:34.136Z,174158757413600
"""Nick @ 23ejw2m6D-"" checks",2025-03-10T06:19:33.227Z,174158757322700
"Flop:  [2♥, 8♦, 4♠]",2025-03-10T06:19:30.268Z,174158757026800
"""Nick @ 23ejw2m6D-"" checks",2025-03-10T06:19:29.463Z,174158756946300
"""ieff @ FMYFFNvVDL"" folds",2025-03-10T06:19:23.436Z,174158756343600
"""edwin @ 9M0NBGM9an"" folds",2025-03-10T06:19:22.565Z,174158756256500
"""Gob @ bMuZUaFSt2"" calls 0.20",2025-03-10T06:19:21.603Z,174158756160300
"""Tyler @ Gx5KZdldWM"" calls 0.20",2025-03-10T06:19:15.676Z,174158755567600
"""Nick @ 23ejw2m6D-"" posts a big blind of 0.20",2025-03-10T06:19:13.527Z,174158755352709
"""ieff @ FMYFFNvVDL"" posts a small blind of 0.10",2025-03-10T06:19:13.527Z,174158755352708
"Your hand is 9♠, A♥",2025-03-10T06:19:13.527Z,174158755352706
"Player stacks: #1 ""ieff @ FMYFFNvVDL"" (19.80) | #2 ""Nick @ 23ejw2m6D-"" (21.70) | #3 ""Tyler @ Gx5KZdldWM"" (52.29) | #6 ""Gob @ bMuZUaFSt2"" (75.14) | #9 ""edwin @ 9M0NBGM9an"" (114.05)",2025-03-10T06:19:13.527Z,174158755352702
"-- starting hand #224 (id: t93xapwcxnlx)  (No Limit Texas Hold'em) (dealer: ""edwin @ 9M0NBGM9an"") --",2025-03-10T06:19:13.527Z,174158755352701
"The player ""Kyle2 @ jclMM_b-US"" quits the game with a stack of 0.00.",2025-03-10T06:19:13.527Z,174158755352700
"""Tyler @ Gx5KZdldWM"" shows a A♠, 6♦.",2025-03-10T06:19:10.413Z,174158755041300
"""Nick @ 23ejw2m6D-"" shows a Q♣, K♦.",2025-03-10T06:19:09.027Z,174158754902700
"-- ending hand #223 --",2025-03-10T06:19:04.490Z,174158754449002
"""edwin @ 9M0NBGM9an"" collected 39.63 from pot with Two Pair, Q's & 7's on the second run  (combination: Q♥, Q♦, 7♥, 7♣, 10♥)",2025-03-10T06:19:04.490Z,174158754449001
"""edwin @ 9M0NBGM9an"" collected 39.63 from pot with Three of a Kind, Q's (combination: Q♥, Q♦, Q♠, 10♥, 7♥)",2025-03-10T06:19:04.490Z,174158754449000
"River (second run): 7♥, 6♥, 10♥, 7♣ [5♦]",2025-03-10T06:19:00.484Z,174158754048400
"Turn (second run): 7♥, 6♥, 10♥ [7♣]",2025-03-10T06:18:56.473Z,174158753647300
"River: 7♥, 6♥, 10♥, 2♦ [Q♠]",2025-03-10T06:18:52.466Z,174158753246600
"Turn: 7♥, 6♥, 10♥ [2♦]",2025-03-10T06:18:48.439Z,174158752843900
"""edwin @ 9M0NBGM9an"" shows a Q♥, Q♦.",2025-03-10T06:18:44.378Z,174158752437801
"""Kyle2 @ jclMM_b-US"" shows a 9♥, J♦.",2025-03-10T06:18:44.378Z,174158752437800
"All players in hand choose to run it twice.",2025-03-10T06:18:43.564Z,174158752356401
"""Kyle2 @ jclMM_b-US"" chooses to  run it twice.",2025-03-10T06:18:43.564Z,174158752356400
"""edwin @ 9M0NBGM9an"" chooses to  run it twice.",2025-03-10T06:18:43.360Z,174158752336000
"Remaining players decide whether to run it twice.",2025-03-10T06:18:42.153Z,174158752215301
"""edwin @ 9M0NBGM9an"" calls 32.33",2025-03-10T06:18:42.153Z,174158752215300
"""Kyle2 @ jclMM_b-US"" raises to 32.33 and go all in",2025-03-10T06:18:33.026Z,174158751302600
"""edwin @ 9M0NBGM9an"" bets 10.95",2025-03-10T06:18:30.790Z,174158751079000
"Flop:  [7♥, 6♥, 10♥]",2025-03-10T06:18:25.950Z,174158750595000
"""Kyle2 @ jclMM_b-US"" calls 6.20",2025-03-10T06:18:25.104Z,174158750510400
"""Tyler @ Gx5KZdldWM"" folds",2025-03-10T06:18:22.964Z,174158750296400
"""Nick @ 23ejw2m6D-"" folds",2025-03-10T06:18:21.673Z,174158750167300
