entry,at,order
"""Gob @ bMuZUaFSt2"" raises to 0.60",2025-02-07T05:00:52.001Z,173890445200100
"""glenny @ O4o2WcWz3Z"" folds",2025-02-07T05:00:46.714Z,173890444671400
"""edwin @ 9M0NBGM9an"" posts a big blind of 0.20",2025-02-07T05:00:44.942Z,173890444494207
"""ieff @ FMYFFNvVDL"" posts a small blind of 0.10",2025-02-07T05:00:44.942Z,173890444494206
"Your hand is 7♦, 4♣",2025-02-07T05:00:44.942Z,173890444494202
"Player stacks: #2 ""edwin @ 9M0NBGM9an"" (69.09) | #5 ""glenny @ O4o2WcWz3Z"" (20.90) | #6 ""Gob @ bMuZUaFSt2"" (53.36) | #7 ""ieff @ FMYFFNvVDL"" (22.15)",2025-02-07T05:00:44.942Z,173890444494201
"-- starting hand #108 (id: v7mfsbo01hcm)  (No Limit Texas Hold'em) (dealer: ""Gob @ bMuZUaFSt2"") --",2025-02-07T05:00:44.942Z,173890444494200
"""glenny @ O4o2WcWz3Z"" shows a 3♦, 10♠.",2025-02-07T05:00:42.404Z,173890444240400
"""ieff @ FMYFFNvVDL"" shows a 10♣, A♣.",2025-02-07T05:00:41.375Z,173890444137500
"-- ending hand #107 --",2025-02-07T05:00:37.936Z,173890443793602
"""Gob @ bMuZUaFSt2"" collected 2.40 from pot with Two Pair, K's & 7's (combination: K♥, K♣, 7♦, 7♥, 9♠)",2025-02-07T05:00:37.936Z,173890443793601
"""Gob @ bMuZUaFSt2"" shows a 7♦, 9♠.",2025-02-07T05:00:37.936Z,173890443793600
"""edwin @ 9M0NBGM9an"" checks",2025-02-07T05:00:37.132Z,173890443713200
"""ieff @ FMYFFNvVDL"" checks",2025-02-07T05:00:35.238Z,173890443523800
"""Gob @ bMuZUaFSt2"" checks",2025-02-07T05:00:30.894Z,173890443089400
"River: 7♥, K♥, K♣, 4♦ [4♣]",2025-02-07T05:00:28.898Z,173890442889800
"""edwin @ 9M0NBGM9an"" checks",2025-02-07T05:00:28.084Z,173890442808400
"""ieff @ FMYFFNvVDL"" checks",2025-02-07T05:00:26.861Z,173890442686100
"""Gob @ bMuZUaFSt2"" checks",2025-02-07T05:00:19.591Z,173890441959100
"Turn: 7♥, K♥, K♣ [4♦]",2025-02-07T05:00:16.408Z,173890441640800
"""glenny @ O4o2WcWz3Z"" folds",2025-02-07T05:00:15.567Z,173890441556700
"""edwin @ 9M0NBGM9an"" checks",2025-02-07T05:00:14.568Z,173890441456800
"""ieff @ FMYFFNvVDL"" checks",2025-02-07T05:00:13.624Z,173890441362400
"""Gob @ bMuZUaFSt2"" checks",2025-02-07T05:00:12.757Z,173890441275700
"Flop:  [7♥, K♥, K♣]",2025-02-07T05:00:11.212Z,173890441121200
"""ieff @ FMYFFNvVDL"" calls 0.60",2025-02-07T05:00:10.391Z,173890441039100
"""Gob @ bMuZUaFSt2"" calls 0.60",2025-02-07T05:00:09.433Z,173890440943300
"""glenny @ O4o2WcWz3Z"" calls 0.60",2025-02-07T05:00:08.603Z,173890440860300
"""edwin @ 9M0NBGM9an"" raises to 0.60",2025-02-07T05:00:07.584Z,173890440758400
"""ieff @ FMYFFNvVDL"" posts a big blind of 0.20",2025-02-07T05:00:04.330Z,173890440433007
"""Gob @ bMuZUaFSt2"" posts a small blind of 0.10",2025-02-07T05:00:04.330Z,173890440433006
"Your hand is Q♦, 6♣",2025-02-07T05:00:04.330Z,173890440433002
"Player stacks: #2 ""edwin @ 9M0NBGM9an"" (69.69) | #5 ""glenny @ O4o2WcWz3Z"" (21.50) | #6 ""Gob @ bMuZUaFSt2"" (51.56) | #7 ""ieff @ FMYFFNvVDL"" (22.75)",2025-02-07T05:00:04.330Z,173890440433001
"-- starting hand #107 (id: mdgosdaruipy)  (No Limit Texas Hold'em) (dealer: ""glenny @ O4o2WcWz3Z"") --",2025-02-07T05:00:04.330Z,173890440433000
"Undealt cards: 6♦, 2♠, 2♦, K♦ [5♠]",2025-02-07T04:59:59.533Z,173890439953300
"-- ending hand #106 --",2025-02-07T04:59:58.391Z,173890439839102
"""glenny @ O4o2WcWz3Z"" collected 2.40 from pot",2025-02-07T04:59:58.391Z,173890439839101
"Uncalled bet of 1.30 returned to ""glenny @ O4o2WcWz3Z""",2025-02-07T04:59:58.391Z,173890439839100
"""Gob @ bMuZUaFSt2"" folds",2025-02-07T04:59:57.576Z,173890439757600
"""glenny @ O4o2WcWz3Z"" bets 1.30",2025-02-07T04:59:55.672Z,173890439567200
"Turn: 6♦, 2♠, 2♦ [K♦]",2025-02-07T04:59:52.460Z,173890439246000
"""Gob @ bMuZUaFSt2"" calls 0.60",2025-02-07T04:59:51.591Z,173890439159100
"""glenny @ O4o2WcWz3Z"" bets 0.60",2025-02-07T04:59:42.268Z,173890438226800
"Flop:  [6♦, 2♠, 2♦]",2025-02-07T04:59:39.817Z,173890437981700
"""Gob @ bMuZUaFSt2"" calls 0.60",2025-02-07T04:59:38.975Z,173890437897500
"""glenny @ O4o2WcWz3Z"" raises to 0.60",2025-02-07T04:59:36.843Z,173890437684300
"""edwin @ 9M0NBGM9an"" folds",2025-02-07T04:59:32.640Z,173890437264000
"""ieff @ FMYFFNvVDL"" folds",2025-02-07T04:59:31.723Z,173890437172300
"""Gob @ bMuZUaFSt2"" posts a big blind of 0.20",2025-02-07T04:59:25.721Z,173890436572107
"""glenny @ O4o2WcWz3Z"" posts a small blind of 0.10",2025-02-07T04:59:25.721Z,173890436572106
"Your hand is J♦, 5♣",2025-02-07T04:59:25.721Z,173890436572102
"Player stacks: #2 ""edwin @ 9M0NBGM9an"" (69.69) | #5 ""glenny @ O4o2WcWz3Z"" (20.30) | #6 ""Gob @ bMuZUaFSt2"" (52.76) | #7 ""ieff @ FMYFFNvVDL"" (22.75)",2025-02-07T04:59:25.721Z,173890436572101
"-- starting hand #106 (id: 81zq0a0z0iwc)  (No Limit Texas Hold'em) (dealer: ""edwin @ 9M0NBGM9an"") --",2025-02-07T04:59:25.721Z,173890436572100
"""Gob @ bMuZUaFSt2"" shows a 3♦, 3♠.",2025-02-07T04:59:21.793Z,173890436179300
"-- ending hand #105 --",2025-02-07T04:59:19.169Z,173890435916902
