player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"edwin",9M0NBGM9an,2025-02-04T08:01:33.837Z,,4000,,3830,-170
"joshy",Z_WOxDxS2G,2025-02-04T07:55:23.794Z,,2000,,1695,-305
"joshy",Z_WOxDxS2G,2025-02-04T07:02:58.022Z,2025-02-04T07:53:24.336Z,4010,0,0,-4010
"The Senate",ArJnWs8BqK,2025-02-04T06:48:06.184Z,2025-02-04T07:13:27.251Z,4000,0,0,-4000
"glenny",O4o2WcWz3Z,2025-02-04T06:43:44.794Z,,4000,,6535,2535
"#1 Jeff Hater",23ejw2m6D-,2025-02-04T06:33:59.869Z,2025-02-04T07:28:46.494Z,2000,0,0,-2000
"Eli",zx3OiOhUJQ,2025-02-04T06:10:49.560Z,,4000,,6455,2455
"Gob",bMuZUaFSt2,2025-02-04T06:06:58.194Z,,8000,8867,3530,4397
"The Senate",ArJnWs8BqK,2025-02-04T05:53:38.683Z,2025-02-04T06:46:00.220Z,6000,0,0,-6000
"mond",VnzuRuUJp5,2025-02-04T05:51:21.680Z,2025-02-04T07:07:08.223Z,2000,0,0,-2000
"#1 Allen Fan",23ejw2m6D-,2025-02-04T05:47:14.959Z,2025-02-04T06:31:43.127Z,2000,0,0,-2000
"Eli",zx3OiOhUJQ,2025-02-04T05:47:14.951Z,2025-02-04T06:09:53.130Z,3155,0,0,-3155
"addison",YRv7Vh3JH0,2025-02-04T05:47:14.949Z,2025-02-04T07:38:17.556Z,2000,8825,0,6825
"Gob",bMuZUaFSt2,2025-02-04T05:47:14.913Z,2025-02-04T06:06:27.519Z,2620,0,0,-2620
"ieff",FMYFFNvVDL,2025-02-04T05:47:14.963Z,2025-02-04T07:47:49.733Z,2000,7759,0,5759
"glenny",O4o2WcWz3Z,2025-02-04T05:47:14.946Z,2025-02-04T06:43:19.260Z,2000,0,0,-2000
"The Senate",ArJnWs8BqK,2025-02-04T05:47:14.942Z,2025-02-04T05:52:46.786Z,2000,0,0,-2000
"edwin",9M0NBGM9an,2025-02-04T05:47:14.936Z,2025-02-04T07:49:44.933Z,2000,10289,0,8289
